# Arabic page name	Nama English name
# Generated by tools/release-notes/gen-doc-names.py -- do not hand-edit.
صرف الخامات لمقاول الباطن	Selling Material to a Subcontractor
صرف خامات الكرتون: من المستودع إلى أرض الإنتاج	Carton Material Issues: From Warehouse to Shop Floor
صرف قطع الغيار	Issuing Spare Parts
صلاحيات الحقول والصفحات والقوائم	Field, Page, and List View Security
صناديق الاستثمار العقاري	Real Estate Investment Funds
ضبط الجودة (Quality Control)	Quality Control
ضبط الجودة بالموقع	Site Quality Control
طلب النقل: كيف يُطلب تحريك الأصل	Asking for a Move: The Transfer Request
طلب شراء أصل	Fixed Asset Purchase Request
طلب شراء خامات من الموازنة التنفيذية	Budget Item Requests
طلب فحص نشاط	Activity Inspection Requests
طلبات الأعمال (Business Requests)	Business Requests
طلبات الخدمة	Service Requests
طلبات الدعم	Trouble Tickets
طلبات الرفع والاعتمادات والتسليم	Measurements, Submittals and Handover
طلبات الزيارة (CRM Visit Request)	Visit Requests
طلبات وأوامر شراء المقاولات	Contracting Purchase Requests and Orders
طلبات ومستندات الموارد البشرية والمستندات المجمعة	HR Requests, Documents & Aggregated Documents
طلبات ومصروفات الصيانة	Maintenance Requests and Expenses
طلبيات الكرتون (Carton Orders): من طلب العميل إلى خطة الإنتاج	Carton Orders: From Customer Request to Production Plan
عام	General
عرض أسعار المشروع	Project Sales Quotation
عرض سعر التقسيط	Quoting a Monthly Instalment
عرض سعر المقاولات	Contracting Offers
عرض سعر مقاول الباطن	Subcontractor Offers
عروض أسعار الإيجار وحجز الوحدة	Rent Offers and Reserving a Unit for Rent
عروض أسعار وأوامر بيع الصيانة	Maintenance Sales Quotations and Orders
عروض الأسعار وأوامر الشراء	Offers and Purchase Orders
عروض العمل والاختبارات (Job Offers & Tests)	Job Offers & Tests
عقد الإيجار	The Rent Contract
عقد البيع	The Sales Contract
عقد المشروع	Project Contracts
عقد مقاول الباطن	Subcontracts
عقود الإيجار الافتتاحية	Opening Rent Contracts
عقود الاستثمار الزراعي	Agricultural Investment Contracts
عقود البيع الافتتاحية	Opening Sales Contracts
عقود الخدمة	Service Contracts
عقود الدورات التدريبية	Course Contracts
عقود الصيانة	Maintenance Contracts
عمليات قاعدة البيانات (Database Related Operations)	Database Related Operations
غرامات التأخير	Late-Payment Fines
غرامات عقد المشروع	Project Fines
غرامات مقاول الباطن	Subcontractor Fines
فاتورة المبيعات	The Sales Invoice
فاتورة المشروع	Project Invoice
فاتورة شراء التأمين	Settling with the Insurer
فاتورة شراء السيارة	The Car Purchase Invoice
فحص الخامات عند التوريد	Material Inspection on Delivery
فرق الفنيين	Technician Crews
فروع الطوابير وشاشة التشغيل	Queue Branches and the Counter Console
فلتر الحقل بالمعايير (Field Filter with Criteria)	Field Filter with Criteria
فهم أصناف المخزون (Understanding Inventory Items)	Understanding Inventory Items
فواتير بيع السيارات	Car Sales Invoices
فوترة أمر الشغل	Invoicing a Job Order
فوترة الصيانة	Maintenance Invoicing
فوترة خدمات الصيانة	Service Invoicing
قائمة تصدير / استيراد ملفات	Files Export / Import Menu
قائمة تقارير مخصصة (Custom Report Menu)	Custom Report Menu
قراءات العداد وفترات الصيانة	Odometer Readings and Service Intervals
قسائم الفنادق والمطاعم	Hotel & Restaurant Vouchers
قصر المستخدم على سنة مالية (Limit User To Year)	Limit User To Year
قطع الغيار في أمر الشغل	Parts on a Job Order
قوائم أسعار المقاولات	Contracting Price Lists
قوائم الأسعار والهوامش	Price Lists & Markups
قوائم الأسعار ونماذج الدفع	Price Lists and Payment Plan Templates
قوائم الاختبارات ونقاطها	Checklists and Checklist Items
قوائم فحص الموقع وتقارير الاختبار	Site Checklists and Test Reports
قواعد الإدخال والحدود	Input Rules and Limits
قوالب الاستبيان والأسئلة (Questionair Template)	Questionnaire Templates and Questions
قوالب القيم الافتراضية	Default Values Templates
قوالب المشاريع	Project Templates
قوالب المهام	Task Templates
قيم العقارات والتعلية وإعادة التقييم	Estate Values, Additions and Revaluation
قيود إثبات استحقاق أقساط الإيجار	Rent Installment Accrual Ledgers
كارت تحليل البند	Term Analysis Cards
كتالوج الخدمات	The Service Catalogue
كتالوج الخدمات الطبية	Medical Service Catalog
كتالوجات الأعطال	Fault Catalogues
كتالوجات المشكلات والشكاوى	Problem and Complaint Catalogues
كراسة الشروط	Term Sheets
كشوف الحسابات وميزان المراجعة والتحليل	Account Statements, Trial Balance & Analysis
كيف تتزامن بيانات نقاط البيع مع الخادم	How POS Data Syncs with the Server
كيف تتكوّن تكلفة المشروع	How Project Cost Is Built
كيف تعمل توجيهات مستندات الأصول الثابتة	How Fixed Asset Document Terms Work
كيف تعمل توجيهات مستندات العقارات	How Real Estate Document Terms Work
كيف تعمل توجيهات مستندات خدمة العملاء	How CRM Document Terms Work
كيف تعمل خدمة الطوابير	How Service Queues Work
كيف تُبنى القائمة	How the Menu Is Put Together
كيف تُعالَج المستندات إلى أثر محاسبي (وإعادة معالجة طلب متعثّر)	How Documents Are Processed Into Accounting Effects (and reprocessing a stuck request)
كيف يتم تحصيل الأقساط	How Installment Collection Works
كيف يحسب النظام الإهلاك	How Depreciation Works
كيف يُقتنى الأصل	How an Asset Is Acquired
كيف يُمثَّل العقار في النظام	How Properties Are Modelled
كيفية حساب الراتب	How Salary Is Calculated
مؤشرات الأداء (Performance Indicators)	Performance Indicators
ما هو نظام نما؟	What is Nama ERP
متابعات طلب الدعم	Ticket Follow-Ups
متابعة التقارير (Reports Monitoring)	Report Monitoring
مجمع التأشيرات (Visa Pool)	Visa Pool
مخصصات الموظفين (نهاية الخدمة ورصيد الأجازات)	HR Provisions (End-of-Service & Vacation Accrual)
مراكز الخدمة (صالات الإنتاج)	Work Centers
مرجع BI — EnhancedMetricsCard (وwidget المقاييس القديم MetricsCards)	BI Reference — EnhancedMetricsCard (and legacy MetricsCards)
مرجع BI — EnhancedTable	BI Reference — EnhancedTable
مرجع BI — وضع المعالج (Wizard Mode)	BI Reference — Wizard Mode
مرجع تعبيرات NamaRep	NamaRep Expression Reference
مردود فاتورة المشاريع	Project Return
مردود مبيعات السيارة	Taking a Car Back
مردود مشتريات السيارات	Returning Cars to the Supplier
مستخلص المشروع	Project Extracts
مستخلص مقاول الباطن	Subcontractor Extracts
مستند إلغاء مستند (Document Cancel Document)	Document Cancel Document
مستند استلام الفاتورة	Invoice Receipt Document
مستند السركى والأعمال اليومية	Daily Labour and Site Diary
مستندات الأجازات	Vacation Documents
مستندات الإلغاء	Cancellation Documents
مستندات الاستثمار وشهادات الصناديق	Investment Documents & Fund Certificates
مستندات الحركة	Delivery Documents
مستندات الرواتب (Salary Documents)	Salary Documents
مستندات مرحلة المشروع	Project Stages
مستندات وسداد السلف	Loan Documents & Payments
مشروع المقاولات	Contracting Projects
مصادر تكلفة وإيراد المشروع	Where Project Cost and Revenue Come From
مصاريف المشروع	Project Expenses
مصروفات الاعتماد وتوزيعها	Expenses and Distribution
مصروفات المقاولات المتنوعة	Miscellaneous Contracting Spend
مظهر الحقول وأدوات الإدخال	Field Appearance and Input Widgets
معادلات الحضور والانصراف (Attendance and Departure Formulas)	Attendance and Departure Formulas
معادلات حساب الراتب (Salary Calculation Formulas)	Salary Calculation Formulas
معايير من المحلل النصي (دليل معايير النص)	Criteria from Text Parser (Text Criteria Guide)
معجم مصطلحات نظام نما	Glossary of Nama ERP Terms
معلومات شئون الموظف	Employee HR Information
مفردات الراتب (Salary Components)	Salary Components
مقايسات الصيانة	Maintenance Estimations
مقايسة المقاولات	Contracting Assays
مقدمة عن مسارات الكيان	Introduction to Entity Flows
ملف الآلة	The Machine File
ملف الأصل التأجيري	The Rental Asset File
ملف السيارة	The Car File
ملف الصلاحيات (Security Profile)	Security Profile
ملف المنتج (المركبة)	The Serviced Product
ملفات التصنيف	Classification Files
ملفات التصنيف والوسوم	Tags and Classification Files
من يرى أي قائمة	Who Sees Which Menu
منع استعمال سجل	Preventing a Record From Being Used
مهام الخدمة	Service Tasks
مهام المشروع	Project Tasks
موازين الوزن (Weight Scale)	Weight Scale
مواصفات الكرتونة: تعريف منتجاتك	Carton Specifications: Defining Your Products
مواصفات باركود الصنف	Item Barcode Specifications
مواقع الأصول	Asset Locations
ميزة حقل الباركود للمسح المتتالي	Barcode Field Feature for Sequential Scanning
نظام البريد الدولي (IPS) — نظرة عامة	International Postal System (IPS) — Overview
نظام التنبيهات في Nama ERP	Nama ERP Notification System
نظام الموافقات - الدليل الشامل لتعريف الموافقة	Approvals System - Approval Definition Full Guide
نظرة عامة على إدارة المستندات	Document Management Overview
نظرة عامة على ادارة المشاريع (ECPA)	Project Management (ECPA) Overview
نظرة عامة على الدعم	Support Overview
نظرة عامة على العلاقات الحكومية (Government Relations Overview)	Government Relations Overview
نظرة عامة على المقاولات	Contracting Overview
نظرة عامة على خدمة العملاء	CRM Overview
نظرة عامة على دورة أمر الشغل	Job Order Cycle Overview
نظرة عامة على دورة الصيانة	Maintenance Cycle Overview
نظرة عامة على مركز الخدمة	Service Center Overview
نظرة عامة على مسار البيع	Sales Pipeline Overview
نظرة عامة على مواعيد الفنيين	Technician Appointments Overview
نظرة عامة على نظام الصلاحيات	Security System Overview
نظرة عامة على وحدة الأصول الثابتة	Fixed Assets Module Overview
نظرة عامة على وحدة التصنيع (Manufacturing Module Overview)	Manufacturing Module Overview
نظرة عامة على وحدة العقارات	Real Estate Module Overview
نقاط البيع (Nama POS) — نظرة عامة	Nama POS — Overview
نقاط مكافآت العملاء (Customer Reward Points / Loyalty Points)	Customer Reward Points (Loyalty Points)
نقل الأصل: سند نقل الأصل	Moving an Asset: The Transfer Document
نقل الموظف	Employee Relocation
نماذج العقود	Contract Templates
نماذج بريد إلكتروني جاهزة لطلبات الموافقة (Sample Approval Email Templates)	Sample Approval Email Templates
نماذج طباعة المستندات	Printable Document Forms
هياكل الراتب (Salary Structures)	Salary Structures
هيكل المستشفى والغرف	Hospital Structure & Rooms
واجهة برمجية REST لنظام نما ERP	Nama ERP REST API
وثيقة تأمين السيارة	The Insurance Policy Record
وحدات القياس والمهام والملفات المساعدة	Units, Tasks and Other Lookups
وحدة BI في Nama ERP — المرجع التقني	Nama ERP BI Module — Technical Reference
وحدة BI — لوحات المعلومات والتحليلات (BI Module — Dashboards & Analytics)	BI Module — Dashboards & Analytics
ودائع الصيانة وصناديق الصيانة	Maintenance Deposits and Maintenance Funds
ورديات الكاشير (درج النقدية)	Cashier Shifts (Cash Drawer)
